sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
units-colombo-city-total			1,346.66	1,522.90	1,490.57	1,459.70	1,416.19	1,328.76	1,289.36	1,243.85	1,246.95	1,239.37	1,169.72	1,119.96	1,111.65	1,117.26	1,074.84	1,051.31	934.35	876.47	780.02	722.98	785.75	778.90																																																																													
units-central-total			1,364.67	1,394.74	1,309.94	1,265.95	1,211.87	1,132.91	1,043.04	884.31	775.90	738.77	688.33	633.64	622.73	595.29	549.33	469.45	438.79	414.50	374.89	360.75	469.38	416.52																																																																													
units-eastern-total			767.59	738.74	712.47	672.80	626.30	556.95	504.25	481.80	472.33	446.07	418.09	377.08	346.97	333.28	314.83	280.14	220.89	197.03	181.46	167.75	172.83	172.65																																																																													
units-north-western-total			1,508.65	1,481.49	1,372.12	1,329.70	1,269.80	1,165.03	1,094.05	1,046.48	1,048.76	1,002.55	919.21	825.54	782.49	759.17	692.52	639.96	586.72	552.47	494.64	480.62	439.01	389.11																																																																													
units-north-central-total			635.04	601.01	565.67	529.29	506.30	437.99	404.15	397.17	383.72	356.50	319.54	279.28	262.44	252.27	238.31	213.70	214.20	217.27	174.00	141.05	140.58	123.70																																																																													
units-grand-total-sri-lanka			14,286.14	14,611.23	14,091.16	13,431.46	12,785.30	11,786.28	11,063.11	10,621.39	10,473.80	10,023.29	9,268.28	8,440.80	8,417.39	8,276.18	7,831.64	8,306.22	7,600.88	6,208.60	5,502.28	5,236.44	5,258.21	4,808.67	4,520.98	4,039.27	3,588.42																																																																										
revenue-colombo-city-total			30,812.14	34,734.66	33,723.64	33,146.57	32,351.76	30,020.55	33,866.85	32,620.62	29,464.29	24,205.75	21,718.53	20,878.70	20,272.71	16,055.62	12,870.70	10,770.53	9,829.15	9,170.26	7,768.02	5,327.39	4,800.10	4,587.33																																																																													
revenue-western-total			77,232.98	77,868.81	74,603.59	69,698.18	65,097.12	59,851.64	65,007.47	60,195.49	51,567.30	42,218.25	50,903.99	46,440.25	48,031.72	37,847.04	30,480.42	34,889.86	31,933.79	29,662.34	24,621.23	17,226.11	14,608.82	8,624.86																																																																													
revenue-central-total			21,034.20	21,319.97	19,844.08	18,977.97	17,947.84	16,496.37	17,565.78	14,652.73	11,048.58	8,933.23	8,213.44	7,532.16	7,563.20	5,977.71	4,739.79	3,366.64	3,131.81	2,964.48	2,525.54	1,915.61	2,129.53	1,849.99																																																																													
revenue-southern-total			17,719.46	17,467.45	16,866.31	15,771.02	14,886.46	13,276.92	14,375.05	12,797.58	10,827.63	8,766.97	9,358.97	8,438.13	8,598.88	6,878.79	5,588.27	4,228.37	3,906.63	3,588.25	3,046.52	2,304.58	1,888.86	1,617.73																																																																													
revenue-northern-total			7,636.08	7,317.43	6,704.41	6,133.95	5,506.77	4,771.20	4,830.86	4,445.72	3,449.29	2,642.04	2,180.26	1,644.54	1,417.31	1,161.86	922.32	814.45	700.76	572.21	393.61	277.25	193.01	165.63																																																																													
revenue-eastern-total			12,110.92	11,448.90	10,753.44	10,205.13	9,414.52	8,186.62	8,488.76	8,027.49	6,718.67	5,337.00	4,974.02	4,455.08	4,211.51	3,255.62	2,661.22	1,976.31	1,480.46	1,319.18	1,138.49	847.18	733.49	730.44																																																																													
revenue-north-western-total			23,238.14	22,458.36	20,416.34	19,569.07	18,484.95	16,639.00	17,911.17	16,715.88	14,313.44	11,684.48	10,885.87	9,863.47	9,551.19	7,376.24	5,891.91	4,588.01	4,179.44	3,952.62	3,364.52	2,579.20	1,935.40	1,657.95																																																																													
revenue-north-central-total			9,696.50	9,193.37	8,428.30	7,848.56	7,457.26	6,340.89	6,708.88	6,506.79	5,415.41	4,239.06	3,757.74	3,292.98	3,189.92	2,484.30	2,024.11	1,488.82	1,539.37	1,589.34	1,206.13	760.38	625.41	548.06																																																																													
revenue-uva-total			5,527.67	5,411.88	5,122.49	4,789.95	4,488.46	3,970.15	4,304.73	4,834.48	5,110.66	4,293.52	4,008.21	3,689.77	3,617.00	2,860.11	2,407.61	1,909.53	1,763.88	1,727.31	1,477.56	1,180.50	581.81	523.21																																																																													
revenue-sabaragamuwa-total			8,185.41	8,009.94	7,615.79	7,127.95	6,760.61	6,187.06	6,631.40	7,314.73	6,411.13	5,194.16	4,779.27	4,315.99	4,442.67	3,502.78	2,998.66	2,665.04	2,439.89	2,333.18	2,103.81	1,611.37	1,140.96	998.68																																																																													
revenue-transmission-bulk-supply-to-leco			25,717.05	27,719.56	25,478.36	25,182.11	24,496.28	22,295.38	24,980.67	22,376.13	18,628.15	14,858.57	-	-	-	-	-	-	-	-	-	-	-																																																																														
revenue-grand-total-sri-lanka			238,910.55	242,950.33	204,078.38	218,450.46	206,892.03	188,035.77	204,671.63	190,487.64	162,954.54	132,373.02	120,780.30	110,551.05	110,896.10	87,400.06	70,585.01	66,697.56	60,905.18	47,708.92	39,877.41	28,702.18	28,837.20	21,304.08	20,176.46	16,781.72	14,408.54																																																																										
no.-of-consumer-accounts-colombo-city-total			184,627.00	182,259	179,801.00	177,593	175,128	172,643	169,596	164,565	161,018	157,600	154,268	150,944	147,328	144,024	140,448	135,980	132,760	128,052	122,717	118,161	115,296	111,343																																																																													
no.-of-consumer-accounts-western-total			1,409,815.00	1,381,420	1,349,535.00	1,316,118	1,281,087	1,235,682	1,200,518	1,169,562	1,135,298	1,094,576	1,060,558	1,031,141	999,482	958,390	915,165	1,363,463	1,301,050	1,239,605	1,180,700	1,129,799	1,071,556	893,434																																																																													
no.-of-consumer-accounts-central-total			1,040,251.00	1,022,970	1,002,820.00	982,134	957,200	911,417	883,595	858,446	653,912	626,460	598,187	576,551	554,833	524,635	496,582	414,380	393,937	374,270	354,981	336,181	358,920	320,963																																																																													
no.-of-consumer-accounts-southern-total			798,781.00	783,492	766,864.00	749,918	731,831	702,117	679,316	659,545	636,247	616,482	591,887	566,584	543,947	510,864	474,633	499,268	473,849	449,469	426,172	405,776	382,426	345,915																																																																													
no.-of-consumer-accounts-northern-total			380,260.00	367,518	356,253.00	339,420	306,565	270,263	241,719	217,973	188,284	166,051	143,611	132,331	126,887	122,449	119,650	108,504	98,065	81,258	66,621	61,610	52,940	45,499																																																																													
no.-of-consumer-accounts-eastern-total			569,698.00	552,096	535,636.00	516,695	479,953	442,447	418,014	392,436	366,942	337,287	312,727	294,091	270,475	245,662	226,603	210,437	210,419	193,810	179,886	168,496	143,690	130,841																																																																													
no.-of-consumer-accounts-north-western-total			884,297.00	866,436	848,767.00	828,918	797,194	753,125	720,471	693,040	663,514	627,289	594,899	566,785	539,834	509,269	471,368	428,433	402,954	375,957	351,965	335,171	306,388	274,269																																																																													
no.-of-consumer-accounts-north-central-total			467,720.00	459,639	448,008.00	436,174	422,903	390,774	372,667	356,446	338,951	314,523	295,924	276,745	257,965	242,655	223,920	205,566	174,855	158,429	148,749	140,163	139,320	124,934																																																																													
no.-of-consumer-accounts-uva-total			407,782.00	399,578	390,670.00	381,433	364,622	342,013	325,787	308,707	401,725	373,819	353,632	334,922	318,894	302,111	283,725	262,723	249,103	232,622	217,906	206,377	135,948	121,233																																																																													
no.-of-consumer-accounts-sabaragamuwa-total			493,033.00	485,231	475,925.00	464,726	447,709	428,649	405,847	390,039	433,969	403,359	374,729	350,073	329,254	306,927	284,147	314,415	295,400	277,354	261,047	246,828	228,128	202,798																																																																													
no.-of-consumer-accounts-transmission-bulk-supply-to-leco			1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-																																																																														
no.-of-consumer-accounts-grand-total-sri-lanka			6,636,266	6,500,641	6,354,280	6,193,130	5,964,194	5,649,132	5,417,532	5,210,761	4,979,861	4,717,447	4,480,422	4,280,167	4,088,899	3,866,986	3,636,242	3,943,169	3,732,392	3,382,774	3,188,027	3,030,401	2,830,795	2,571,229	2,334,992	2,133,574	1,690,636																																																																										
